log_id,interaction_id,latency_ms,accuracy_score,sentiment,error_type,severity_level,flagged
L-69,I-69,152,0.85,Positive,Validation Error,Medium,No
L-70,I-70,275,0.8,Neutral,API Error,Critical,No
L-71,I-71,410,0.85,Neutral,Token Limit Exceeded,High,Yes
L-72,I-72,234,0.85,Positive,Timeout,High,Yes
L-73,I-73,356,0.92,Neutral,None,Low,Yes
L-74,I-74,803,0.98,Neutral,Timeout,Critical,No
L-75,I-75,231,0.85,Negative,API Error,Low,No
L-76,I-76,387,0.98,Positive,Server Error,Low,No
L-77,I-77,270,0.85,Positive,None,Low,No
L-78,I-78,498,0.85,Neutral,Connection Error,High,No
L-79,I-79,271,0.9,Positive,None,Low,No
L-80,I-80,313,0.92,Positive,None,High,No
L-81,I-81,586,0.98,Positive,Connection Error,High,Yes
L-82,I-82,709,0.95,Positive,None,High,Yes
L-83,I-83,453,0.85,Positive,Token Limit Exceeded,Medium,No
L-84,I-84,775,0.92,Positive,None,Low,Yes
L-85,I-85,182,0.92,Negative,API Error,Medium,No
L-86,I-86,13,0.9,Neutral,Rate Limit,Medium,No
L-87,I-87,51,0.85,Positive,Connection Error,Medium,No
L-88,I-88,525,0.9,Neutral,None,High,No
L-89,I-89,421,0.98,Neutral,Server Error,High,No
L-90,I-90,259,0.95,Positive,Token Limit Exceeded,Low,No
L-91,I-91,392,0.92,Positive,Timeout,High,No
L-92,I-92,484,0.85,Positive,None,High,No
L-93,I-93,81,0.9,Neutral,Server Error,Low,No
L-94,I-94,48,0.85,Positive,API Error,Low,No
L-95,I-95,576,0.95,Negative,Rate Limit,High,No
L-96,I-96,795,0.92,Neutral,API Error,Critical,No
L-97,I-97,210,0.85,Positive,Validation Error,Critical,No
L-98,I-98,477,0.8,Positive,Timeout,Low,No
L-99,I-99,213,0.95,Positive,Token Limit Exceeded,Critical,Yes
L-100,I-100,117,0.9,Positive,None,High,No
L-101,I-101,537,0.85,Negative,None,Low,No
L-102,I-102,282,0.98,Positive,Timeout,Low,No
L-103,I-103,298,0.85,Neutral,None,High,No
L-104,I-104,148,0.92,Positive,Token Limit Exceeded,Medium,No
L-105,I-105,229,0.92,Positive,Validation Error,Medium,No
L-106,I-106,623,0.85,Neutral,None,Low,No
L-107,I-107,80,0.95,Positive,None,High,No
L-108,I-108,442,0.92,Positive,None,Medium,No
L-109,I-109,97,0.85,Negative,Connection Error,Low,No
L-110,I-110,179,0.9,Positive,None,Low,No
L-111,I-111,699,0.9,Neutral,Token Limit Exceeded,Critical,No
L-112,I-112,224,0.85,Positive,Token Limit Exceeded,Medium,No
L-113,I-113,303,0.9,Positive,Rate Limit,Medium,Yes
L-114,I-114,580,0.9,Positive,Connection Error,Low,Yes
L-115,I-115,605,0.8,Negative,None,Critical,No
L-116,I-116,262,0.92,Positive,API Error,Low,Yes
L-117,I-117,54,0.8,Neutral,Connection Error,Low,No
L-118,I-118,509,0.8,Neutral,API Error,High,No
L-119,I-119,332,0.85,Positive,None,Low,No
L-120,I-120,524,0.85,Negative,None,Low,No
L-121,I-121,125,0.8,Positive,None,High,No
L-122,I-122,228,0.95,Neutral,API Error,Low,No
L-123,I-123,584,0.85,Positive,None,High,No
L-124,I-124,825,0.8,Positive,Validation Error,Low,No
L-125,I-125,586,0.85,Positive,Server Error,Medium,No
L-126,I-126,96,0.8,Positive,Server Error,Low,No
L-127,I-127,102,0.9,Positive,None,High,No
L-128,I-128,218,0.9,Positive,Connection Error,Critical,No
L-129,I-129,231,0.8,Neutral,None,Low,No
L-130,I-130,149,0.95,Negative,Connection Error,High,No
L-131,I-131,585,0.9,Neutral,API Error,Medium,No
L-132,I-132,200,0.85,Neutral,API Error,Critical,No
L-133,I-133,78,0.8,Neutral,Connection Error,Low,No
L-134,I-134,827,0.92,Positive,Connection Error,Critical,No
L-135,I-135,313,0.98,Positive,None,Medium,No
L-136,I-136,115,0.9,Positive,Rate Limit,Low,No
L-137,I-137,441,0.9,Positive,API Error,Medium,Yes
L-138,I-138,421,0.9,Neutral,API Error,Critical,No
L-139,I-139,112,0.92,Positive,Connection Error,High,No
L-140,I-140,362,0.92,Negative,Timeout,Low,No
L-141,I-141,481,0.92,Neutral,Validation Error,High,No
L-142,I-142,537,0.9,Negative,None,Low,No
L-143,I-143,185,0.8,Neutral,Rate Limit,Critical,No
L-144,I-144,388,0.8,Positive,Rate Limit,Low,No
L-145,I-145,375,0.8,Neutral,API Error,High,No
L-146,I-146,212,0.8,Neutral,Server Error,Medium,No
L-147,I-147,341,0.92,Neutral,Token Limit Exceeded,Low,No
L-148,I-148,127,0.98,Neutral,None,Critical,No
L-149,I-149,103,0.8,Positive,Rate Limit,Low,No
L-150,I-150,560,0.85,Positive,None,Low,No
L-151,I-151,136,0.85,Negative,Server Error,High,No
L-152,I-152,230,0.92,Positive,Rate Limit,Low,No
L-153,I-153,795,0.95,Positive,None,Medium,No
L-154,I-154,89,0.92,Positive,Timeout,Low,Yes
L-155,I-155,180,0.98,Negative,None,Medium,No
L-156,I-156,75,0.8,Positive,Token Limit Exceeded,High,No
L-157,I-157,82,0.98,Neutral,API Error,Low,No
L-158,I-158,11,0.85,Negative,Timeout,Critical,No
L-159,I-159,718,0.8,Positive,Validation Error,Critical,Yes
L-160,I-160,15,0.9,Positive,Connection Error,Critical,No
L-161,I-161,544,0.85,Neutral,Validation Error,Low,No
L-162,I-162,187,0.98,Positive,Validation Error,Low,No
L-163,I-163,513,0.8,Positive,Validation Error,Low,No
L-164,I-164,42,0.92,Neutral,API Error,Low,No
L-165,I-165,145,0.92,Neutral,API Error,Low,No
L-166,I-166,63,0.8,Positive,None,High,No
L-167,I-167,381,0.92,Positive,Server Error,High,No
L-168,I-168,61,0.8,Positive,Server Error,Low,Yes
L-169,I-169,100,0.8,Neutral,Token Limit Exceeded,High,No
L-170,I-170,312,0.85,Positive,Timeout,High,No
L-171,I-171,430,0.9,Positive,Connection Error,Low,No
L-172,I-172,381,0.85,Positive,None,Medium,No
L-173,I-173,823,0.98,Positive,None,Low,No
L-174,I-174,84,0.85,Negative,Token Limit Exceeded,Medium,Yes
L-175,I-175,500,0.98,Neutral,Token Limit Exceeded,High,No
L-176,I-176,340,0.98,Neutral,Server Error,Low,No
L-177,I-177,102,0.98,Neutral,Server Error,Low,No
L-178,I-178,723,0.98,Positive,Timeout,Low,No
L-179,I-179,99,0.8,Positive,Server Error,Low,Yes
L-180,I-180,265,0.8,Neutral,None,Low,Yes
L-181,I-181,641,0.8,Positive,Token Limit Exceeded,High,No
L-182,I-182,313,0.8,Positive,None,Low,No
L-183,I-183,530,0.92,Positive,Server Error,Medium,Yes
L-184,I-184,510,0.85,Neutral,None,Low,No
L-185,I-185,892,0.92,Positive,None,Low,No
L-186,I-186,533,0.9,Neutral,None,Low,No
L-187,I-187,220,0.85,Neutral,Timeout,High,No
L-188,I-188,129,0.92,Neutral,API Error,Low,No
L-189,I-189,167,0.95,Positive,Connection Error,Critical,Yes
L-190,I-190,642,0.8,Neutral,Validation Error,High,No
L-191,I-191,185,0.98,Neutral,Token Limit Exceeded,Critical,No
L-192,I-192,457,0.8,Negative,None,Low,Yes
L-193,I-193,463,0.92,Neutral,None,Medium,No
L-194,I-194,361,0.9,Positive,API Error,Critical,No
L-195,I-195,246,0.9,Neutral,Rate Limit,Low,Yes
L-196,I-196,537,0.8,Neutral,Timeout,Medium,No
L-197,I-197,682,0.9,Positive,None,Medium,No
L-198,I-198,231,0.9,Negative,Timeout,Low,No
L-199,I-199,496,0.98,Positive,None,High,Yes
L-200,I-200,367,0.92,Negative,API Error,High,Yes
L-201,I-201,820,0.8,Neutral,None,High,No
L-202,I-202,841,0.98,Negative,API Error,Medium,Yes
L-203,I-203,428,0.9,Positive,Connection Error,Low,No
L-204,I-204,476,0.92,Positive,None,Critical,No
L-205,I-205,336,0.98,Positive,None,Low,Yes
L-206,I-206,271,0.9,Negative,Rate Limit,Medium,No
L-207,I-207,747,0.85,Positive,Timeout,Low,Yes
L-208,I-208,825,0.92,Positive,None,Low,No
L-209,I-209,64,0.8,Negative,Timeout,Medium,No
L-210,I-210,105,0.98,Neutral,Validation Error,Medium,No
L-211,I-211,833,0.8,Positive,API Error,Medium,No
L-212,I-212,248,0.8,Positive,API Error,Low,No
L-213,I-213,500,0.98,Negative,Server Error,Medium,No
L-214,I-214,293,0.8,Neutral,None,Critical,No
L-215,I-215,728,0.9,Negative,Token Limit Exceeded,Medium,No
L-216,I-216,217,0.98,Neutral,None,Low,No
L-217,I-217,553,0.8,Negative,API Error,Medium,No
L-218,I-218,70,0.85,Positive,Token Limit Exceeded,High,No
L-219,I-219,160,0.8,Positive,Validation Error,Low,No
L-220,I-220,641,0.9,Neutral,None,High,No
L-221,I-221,360,0.92,Positive,Timeout,High,No
L-222,I-222,78,0.8,Positive,Timeout,Medium,Yes
L-223,I-223,175,0.92,Neutral,None,Medium,No
L-224,I-224,552,0.92,Neutral,Server Error,Low,No
L-225,I-225,438,0.85,Neutral,None,Low,No
L-226,I-226,213,0.98,Negative,None,Critical,No
L-227,I-227,283,0.9,Positive,Validation Error,Low,No
L-228,I-228,662,0.85,Positive,Timeout,Medium,No
L-229,I-229,170,0.98,Negative,Rate Limit,Critical,No
L-230,I-230,965,0.9,Positive,Token Limit Exceeded,High,Yes
L-231,I-231,26,0.8,Positive,API Error,High,No
L-232,I-232,126,0.92,Neutral,Server Error,Low,No
L-233,I-233,265,0.8,Negative,Validation Error,High,No
L-234,I-234,28,0.85,Negative,API Error,Low,No
L-235,I-235,504,0.85,Positive,Connection Error,Low,No
L-236,I-236,403,0.92,Positive,API Error,Medium,No
L-237,I-237,130,0.95,Positive,Rate Limit,Low,No
L-238,I-238,705,0.98,Neutral,None,Medium,No
L-239,I-239,369,0.9,Neutral,Rate Limit,Medium,No
L-240,I-240,249,0.9,Neutral,Server Error,Medium,Yes
L-241,I-241,375,0.92,Negative,None,Medium,No
L-242,I-242,148,0.98,Positive,Validation Error,High,No
L-243,I-243,8,0.95,Neutral,Timeout,High,No
L-244,I-244,208,0.85,Negative,None,Low,Yes
L-245,I-245,385,0.8,Negative,None,High,No
L-246,I-246,107,0.8,Positive,None,Low,Yes
L-247,I-247,437,0.9,Positive,None,High,No
L-248,I-248,82,0.9,Negative,API Error,Critical,No
L-249,I-249,208,0.8,Positive,None,Medium,No
L-250,I-250,183,0.92,Positive,Server Error,High,No
L-251,I-251,93,0.92,Neutral,API Error,High,No
L-252,I-252,333,0.8,Negative,Connection Error,High,No
L-253,I-253,105,0.92,Positive,API Error,Medium,No
L-254,I-254,179,0.85,Neutral,None,Low,No
L-255,I-255,784,0.92,Positive,Connection Error,Low,No
L-256,I-256,52,0.92,Negative,Validation Error,Critical,No
L-257,I-257,506,0.92,Positive,Connection Error,Low,No
L-258,I-258,550,0.85,Positive,Rate Limit,Medium,Yes
L-259,I-259,137,0.92,Neutral,Validation Error,Low,No
L-260,I-260,288,0.92,Neutral,Timeout,Low,No
L-261,I-261,437,0.8,Negative,API Error,High,No
L-262,I-262,101,0.92,Positive,Server Error,Low,No
L-263,I-263,31,0.92,Positive,Server Error,Critical,No
L-264,I-264,728,0.8,Neutral,Server Error,Critical,No
L-265,I-265,144,0.98,Positive,Token Limit Exceeded,Critical,No
L-266,I-266,103,0.9,Negative,Token Limit Exceeded,High,No
L-267,I-267,359,0.98,Positive,Server Error,Low,No
L-268,I-268,128,0.85,Neutral,Timeout,High,No
L-269,I-269,60,0.8,Negative,Connection Error,Critical,No
L-270,I-270,369,0.85,Positive,None,Low,Yes
L-271,I-271,532,0.92,Neutral,API Error,High,No
L-272,I-272,83,0.85,Positive,Connection Error,High,No
L-273,I-273,880,0.9,Neutral,Connection Error,High,No
L-274,I-274,422,0.8,Neutral,Token Limit Exceeded,Low,No
L-275,I-275,574,0.95,Positive,Rate Limit,Low,No
L-276,I-276,453,0.85,Positive,Server Error,Low,No
L-277,I-277,255,0.8,Neutral,API Error,High,No
L-278,I-278,375,0.9,Positive,None,Low,No
L-279,I-279,436,0.8,Positive,Timeout,Low,No
L-280,I-280,190,0.85,Positive,Timeout,High,No
L-281,I-281,532,0.85,Neutral,None,High,No
L-282,I-282,232,0.9,Neutral,Token Limit Exceeded,Medium,No
L-283,I-283,239,0.92,Negative,Connection Error,Medium,No
L-284,I-284,106,0.9,Positive,API Error,Critical,No
L-285,I-285,510,0.85,Positive,Timeout,Low,No
L-286,I-286,179,0.95,Positive,None,Critical,No
L-287,I-287,655,0.9,Neutral,Token Limit Exceeded,Critical,No
L-288,I-288,326,0.85,Positive,Connection Error,High,No
L-289,I-289,584,0.98,Positive,None,Low,No
L-290,I-290,291,0.98,Positive,None,Medium,Yes
L-291,I-291,259,0.9,Neutral,Timeout,Low,No
L-292,I-292,468,0.95,Negative,None,Low,Yes
L-293,I-293,130,0.95,Positive,None,Low,No
L-294,I-294,559,0.92,Positive,Rate Limit,High,No
L-295,I-295,156,0.85,Negative,None,High,No
L-296,I-296,23,0.9,Positive,None,Critical,Yes
L-297,I-297,68,0.9,Neutral,None,High,No
L-298,I-298,339,0.85,Neutral,API Error,Low,No
L-299,I-299,307,0.85,Negative,None,High,Yes
L-300,I-300,568,0.8,Neutral,Rate Limit,High,Yes
L-301,I-301,223,0.98,Positive,API Error,Low,No
L-302,I-302,246,0.9,Positive,None,Critical,No
L-303,I-303,137,0.8,Neutral,API Error,Low,No
L-304,I-304,432,0.8,Neutral,Server Error,High,Yes
L-305,I-305,478,0.92,Neutral,None,Critical,No
L-306,I-306,24,0.8,Positive,Timeout,Medium,No
L-307,I-307,634,0.95,Positive,None,High,No
L-308,I-308,99,0.92,Positive,None,High,No
L-309,I-309,312,0.85,Neutral,Rate Limit,Low,No
L-310,I-310,233,0.85,Positive,Timeout,Low,No
L-311,I-311,510,0.98,Positive,API Error,Medium,No
L-312,I-312,42,0.85,Neutral,API Error,Critical,No
L-313,I-313,518,0.8,Negative,API Error,Low,No
L-314,I-314,438,0.9,Positive,None,Critical,No
L-315,I-315,760,0.8,Positive,Token Limit Exceeded,High,No
L-316,I-316,32,0.9,Neutral,None,Low,No
L-317,I-317,198,0.95,Neutral,Timeout,Medium,No
L-318,I-318,239,0.95,Positive,Timeout,Medium,No
L-319,I-319,485,0.8,Positive,None,High,Yes
L-320,I-320,129,0.98,Negative,Token Limit Exceeded,Medium,No
L-321,I-321,52,0.92,Neutral,API Error,High,No
L-322,I-322,67,0.8,Neutral,Validation Error,Critical,No
L-323,I-323,930,0.85,Positive,Connection Error,Low,No
L-324,I-324,120,0.8,Negative,None,Low,No
L-325,I-325,281,0.8,Positive,Validation Error,Low,No
L-326,I-326,87,0.85,Neutral,None,Low,No
L-327,I-327,207,0.92,Positive,Timeout,Critical,Yes
L-328,I-328,169,0.9,Positive,None,Low,No
L-329,I-329,89,0.98,Positive,Rate Limit,Medium,No
L-330,I-330,112,0.95,Negative,None,Medium,No
L-331,I-331,119,0.85,Positive,Rate Limit,Medium,No
L-332,I-332,355,0.8,Positive,Validation Error,High,No
L-333,I-333,305,0.92,Positive,API Error,Medium,No
L-334,I-334,370,0.9,Neutral,Validation Error,High,No
L-335,I-335,247,0.9,Positive,None,Medium,No
L-336,I-336,332,0.9,Neutral,None,High,No
L-337,I-337,227,0.92,Positive,Validation Error,High,No
L-338,I-338,183,0.98,Positive,Connection Error,Low,No
L-339,I-339,567,0.95,Neutral,Timeout,Critical,No
L-340,I-340,81,0.92,Negative,None,Low,No
L-341,I-341,462,0.85,Positive,None,Medium,No
L-342,I-342,821,0.98,Positive,Server Error,High,No
L-343,I-343,292,0.8,Neutral,Validation Error,Medium,Yes
L-344,I-344,752,0.9,Negative,API Error,Low,No
L-345,I-345,472,0.8,Neutral,Validation Error,Low,No
L-346,I-346,270,0.9,Neutral,None,Critical,No
L-347,I-347,686,0.9,Positive,Connection Error,Low,No
L-348,I-348,415,0.8,Positive,Timeout,Low,No
L-349,I-349,303,0.85,Neutral,Token Limit Exceeded,High,No
L-350,I-350,383,0.95,Positive,None,Medium,No
L-351,I-351,199,0.95,Positive,API Error,Low,No
L-352,I-352,495,0.9,Negative,Timeout,Low,Yes
L-353,I-353,446,0.92,Positive,Connection Error,Medium,No
L-354,I-354,129,0.95,Positive,API Error,Low,No
L-355,I-355,291,0.8,Positive,Rate Limit,Critical,Yes
L-356,I-356,403,0.8,Neutral,Rate Limit,Critical,No
L-357,I-357,460,0.9,Positive,None,High,No
L-358,I-358,318,0.92,Positive,None,Medium,No
L-359,I-359,168,0.85,Positive,Timeout,Critical,No
L-360,I-360,355,0.85,Positive,API Error,High,No
L-361,I-361,353,0.92,Positive,Connection Error,Critical,No
L-362,I-362,749,0.85,Positive,Server Error,Critical,No
L-363,I-363,614,0.9,Positive,None,Low,No
L-364,I-364,140,0.85,Negative,None,Critical,No
L-365,I-365,266,0.9,Positive,Timeout,Medium,No
L-366,I-366,898,0.92,Neutral,Timeout,Low,No
L-367,I-367,343,0.98,Neutral,None,Critical,No
L-368,I-368,543,0.92,Positive,Connection Error,Medium,No
L-369,I-369,146,0.8,Neutral,Validation Error,Medium,No
L-370,I-370,730,0.9,Neutral,None,High,No
L-371,I-371,354,0.95,Negative,None,High,No
L-372,I-372,199,0.92,Negative,None,Medium,Yes
L-373,I-373,282,0.9,Positive,Server Error,High,No
L-374,I-374,67,0.92,Neutral,Rate Limit,Low,No
L-375,I-375,648,0.8,Positive,API Error,Medium,No
L-376,I-376,60,0.8,Positive,Token Limit Exceeded,Low,Yes
L-377,I-377,632,0.9,Positive,None,Low,No
L-378,I-378,75,0.9,Neutral,Validation Error,Medium,No
L-379,I-379,308,0.95,Positive,API Error,Low,No
L-380,I-380,598,0.92,Negative,Validation Error,High,No
L-381,I-381,49,0.9,Positive,None,Critical,No
L-382,I-382,117,0.85,Neutral,None,High,No
L-383,I-383,213,0.98,Positive,Validation Error,Critical,No
L-384,I-384,434,0.95,Neutral,None,High,No
L-385,I-385,205,0.98,Positive,Rate Limit,High,No
L-386,I-386,35,0.92,Neutral,Connection Error,Low,No
L-387,I-387,173,0.8,Neutral,Connection Error,Medium,No
L-388,I-388,327,0.95,Positive,None,High,No
L-389,I-389,314,0.85,Negative,Rate Limit,Critical,No
L-390,I-390,301,0.85,Positive,API Error,Low,No
L-391,I-391,41,0.85,Neutral,Server Error,High,No
L-392,I-392,572,0.95,Positive,Token Limit Exceeded,Critical,No
L-393,I-393,873,0.8,Positive,Rate Limit,Low,No
L-394,I-394,859,0.85,Positive,API Error,High,No
L-395,I-395,435,0.9,Neutral,Timeout,Critical,No
L-396,I-396,248,0.92,Positive,None,Medium,Yes
L-397,I-397,318,0.95,Neutral,None,Low,No
L-398,I-398,637,0.8,Positive,API Error,Low,No
L-399,I-399,166,0.9,Positive,Rate Limit,Low,No
L-400,I-400,834,0.9,Positive,Connection Error,Medium,No
L-401,I-401,63,0.85,Neutral,Timeout,Critical,No
L-402,I-402,38,0.85,Positive,Server Error,Low,No
L-403,I-403,95,0.85,Neutral,Validation Error,High,No
L-404,I-404,310,0.98,Positive,Connection Error,High,No
L-405,I-405,58,0.85,Positive,Token Limit Exceeded,Low,Yes
L-406,I-406,128,0.8,Neutral,Connection Error,Medium,Yes
L-407,I-407,457,0.8,Positive,Server Error,Low,No
L-408,I-408,701,0.92,Positive,API Error,High,No
L-409,I-409,88,0.8,Neutral,Rate Limit,High,No
L-410,I-410,230,0.92,Positive,None,Medium,Yes
L-411,I-411,712,0.9,Positive,Connection Error,Low,No
L-412,I-412,629,0.8,Neutral,Token Limit Exceeded,Low,No
L-413,I-413,367,0.92,Positive,Token Limit Exceeded,High,No
L-414,I-414,321,0.8,Negative,Timeout,High,No
L-415,I-415,122,0.85,Neutral,None,High,No
L-416,I-416,525,0.85,Neutral,None,Low,No
L-417,I-417,220,0.85,Positive,None,Critical,No
L-418,I-418,640,0.92,Negative,None,High,No
L-419,I-419,323,0.8,Neutral,None,Critical,No
L-420,I-420,677,0.95,Neutral,Rate Limit,Medium,No
L-421,I-421,79,0.9,Positive,Validation Error,High,No
L-422,I-422,321,0.85,Positive,Connection Error,Low,No
L-423,I-423,435,0.8,Positive,Validation Error,Medium,No
L-424,I-424,213,0.9,Negative,Server Error,Low,No
L-425,I-425,382,0.85,Neutral,None,Medium,No
L-426,I-426,562,0.92,Neutral,Rate Limit,High,No
L-427,I-427,429,0.98,Neutral,Timeout,Critical,No
L-428,I-428,224,0.98,Positive,Timeout,Medium,No
L-429,I-429,719,0.92,Neutral,Rate Limit,Critical,No
L-430,I-430,243,0.9,Positive,Timeout,Low,No
L-431,I-431,385,0.95,Positive,None,High,No
L-432,I-432,566,0.98,Neutral,None,High,No
L-433,I-433,510,0.8,Positive,Server Error,Low,No
L-434,I-434,339,0.8,Neutral,Rate Limit,Low,No
L-435,I-435,407,0.98,Neutral,None,Critical,Yes
L-436,I-436,119,0.8,Negative,None,High,No
L-437,I-437,813,0.95,Positive,Rate Limit,High,No
L-438,I-438,135,0.8,Neutral,None,Low,No
L-439,I-439,257,0.85,Positive,Timeout,High,No
L-440,I-440,505,0.9,Neutral,Token Limit Exceeded,Low,No
L-441,I-441,199,0.8,Positive,None,Medium,No
L-442,I-442,374,0.98,Negative,None,Low,No
L-443,I-443,282,0.92,Positive,None,Medium,No
L-444,I-444,602,0.95,Negative,Connection Error,Low,Yes
L-445,I-445,319,0.85,Neutral,Token Limit Exceeded,High,No
L-446,I-446,54,0.85,Neutral,Timeout,High,No
L-447,I-447,230,0.92,Positive,Token Limit Exceeded,Medium,No
L-448,I-448,143,0.8,Positive,Validation Error,Low,No
L-449,I-449,467,0.95,Positive,API Error,Critical,No
L-450,I-450,469,0.8,Negative,Connection Error,Low,No
L-451,I-451,233,0.8,Positive,API Error,Low,No
L-452,I-452,695,0.8,Positive,Validation Error,Medium,No
L-453,I-453,342,0.85,Neutral,None,Low,No
L-454,I-454,229,0.8,Positive,Rate Limit,Critical,No
L-455,I-455,417,0.95,Positive,Token Limit Exceeded,Critical,No
L-456,I-456,617,0.92,Positive,Connection Error,High,No
L-457,I-457,475,0.92,Positive,Validation Error,Critical,No
L-458,I-458,231,0.8,Neutral,Timeout,Low,No
L-459,I-459,499,0.8,Negative,None,Medium,No
L-460,I-460,57,0.92,Neutral,None,Low,Yes
L-461,I-461,37,0.85,Positive,None,Critical,No
L-462,I-462,863,0.85,Positive,None,Critical,No
L-463,I-463,312,0.92,Neutral,Validation Error,Low,No
L-464,I-464,699,0.92,Neutral,Connection Error,Low,No
L-465,I-465,108,0.85,Positive,Validation Error,Medium,No
L-466,I-466,225,0.95,Neutral,Connection Error,Medium,No
L-467,I-467,175,0.98,Neutral,Server Error,High,No
L-468,I-468,354,0.8,Negative,Token Limit Exceeded,Critical,No
L-469,I-469,132,0.9,Neutral,None,Low,No
L-470,I-470,255,0.8,Negative,API Error,High,Yes
L-471,I-471,147,0.8,Positive,Connection Error,Medium,No
L-472,I-472,325,0.85,Positive,None,Low,No
L-473,I-473,513,0.92,Positive,Rate Limit,Medium,Yes
L-474,I-474,604,0.95,Positive,API Error,High,No
L-475,I-475,103,0.95,Neutral,Validation Error,Low,No
L-476,I-476,785,0.8,Positive,Validation Error,High,No
L-477,I-477,745,0.8,Positive,Token Limit Exceeded,Low,No
L-478,I-478,336,0.9,Positive,Timeout,Low,No
L-479,I-479,679,0.85,Positive,Timeout,Medium,Yes
L-480,I-480,874,0.98,Negative,None,Low,No
L-481,I-481,127,0.85,Positive,API Error,Low,No
L-482,I-482,87,0.9,Negative,None,Low,No
L-483,I-483,897,0.8,Neutral,API Error,Medium,No
L-484,I-484,163,0.8,Neutral,None,Low,No
L-485,I-485,315,0.85,Positive,Rate Limit,High,No
L-486,I-486,599,0.9,Positive,Rate Limit,High,No
