session_id,user_id,agent_id,start_time,end_time,response_time_in_sec,total_queries,,,
S-61,U-61,A-61,15.05.38,15.35.14,1776,3790,,,
S-62,U-62,A-62,22.19.28,23.03.46,2658,59,,,
S-63,U-63,A-63,20.58.17,21.36.46,2309,5655,,,
S-64,U-64,A-64,5.38.05,5.58.41,1236,1242,,,
S-65,U-65,A-65,14.43.44,15.32.35,2931,594,,,
S-66,U-66,A-66,17.56.52,18.31.47,2095,849,,,
S-67,U-67,A-67,5.42.13,6.30.36,2903,505,,,
S-68,U-68,A-68,19.18.05,19.42.07,1442,4555,,,
S-69,U-69,A-69,16.34.47,17.18.13,2606,209,,,
S-70,U-70,A-70,6.53.29,7.51.51,3502,2927,,,
S-71,U-71,A-71,8.05.38,9.05.35,3597,1283,,,
S-72,U-72,A-72,13.47.46,14.47.16,3570,7850,,,
S-73,U-73,A-73,2.48.54,3.34.30,2736,6707,,,
S-74,U-74,A-74,8.37.07,9.16.35,2368,3677,,,
S-75,U-75,A-75,22.15.20,23.01.31,2771,2944,,,
S-76,U-76,A-76,20.26.14,20.44.57,1123,2204,,,
S-77,U-77,A-77,10.26.47,10.58.14,1887,4619,,,
S-78,U-78,A-78,5.46.41,6.30.20,2619,3117,,,
S-79,U-79,A-79,6.17.10,7.07.15,3005,6648,,,
S-80,U-80,A-80,17.00.14,17.58.59,3525,7007,,,
S-81,U-81,A-81,22.41.08,22.46.37,329,6937,,,
S-82,U-82,A-82,18.07.40,18.18.56,676,3921,,,
S-83,U-83,A-83,8.47.22,9.21.03,2021,5503,,,
S-84,U-84,A-84,4.58.25,5.18.25,1200,4564,,,
S-85,U-85,A-85,11.11.54,11.44.00,1926,1740,,,
S-86,U-86,A-86,17.17.59,17.33.14,915,5789,,,
S-87,U-87,A-87,1.54.08,2.29.32,2124,308,,,
S-88,U-88,A-88,23.53.44,0.33.12,-84032,4045,,,
S-89,U-89,A-89,12.27.22,13.05.19,2277,1283,,,
S-90,U-90,A-90,15.50.48,16.35.00,2652,255,,,
S-91,U-91,A-91,16.34.25,16.48.50,865,1653,,,
S-92,U-92,A-92,10.01.35,10.56.35,3300,5080,,,
S-93,U-93,A-93,9.43.59,10.28.01,2642,312,,,
S-94,U-94,A-94,22.14.57,22.31.27,990,1909,,,
S-95,U-95,A-95,10.36.58,11.15.17,2299,279,,,
S-96,U-96,A-96,4.36.52,5.12.43,2151,3956,,,
S-97,U-97,A-97,10.37.52,11.11.58,2046,775,,,
S-98,U-98,A-98,1.59.23,2.52.09,3166,566,,,
S-99,U-99,A-99,10.10.13,10.47.58,2265,7431,,,
S-100,U-100,A-100,5.01.22,5.48.49,2847,3851,,,
S-101,U-101,A-101,3.22.57,3.53.24,1827,1755,,,
S-102,U-102,A-102,22.39.18,23.16.24,2226,322,,,
S-103,U-103,A-103,21.27.08,21.51.57,1489,2628,,,
S-104,U-104,A-104,6.27.42,7.05.13,2251,5885,,,
S-105,U-105,A-105,16.41.55,17.40.03,3488,1932,,,
S-106,U-106,A-106,11.31.17,12.18.43,2846,4978,,,
S-107,U-107,A-107,15.43.04,16.40.38,3454,137,,,
S-108,U-108,A-108,4.16.23,5.13.30,3427,4089,,,
S-109,U-109,A-109,21.54.37,22.15.34,1257,1462,,,
S-110,U-110,A-110,2.02.45,2.34.52,1927,686,,,
S-111,U-111,A-111,6.07.39,6.21.20,821,7768,,,
S-112,U-112,A-112,19.06.46,19.21.34,888,5712,,,
S-113,U-113,A-113,7.51.26,8.39.58,2912,4456,,,
S-114,U-114,A-114,23.53.09,0.32.59,-84010,6323,,,
S-115,U-115,A-115,11.26.29,11.36.08,579,5722,,,
S-116,U-116,A-116,8.40.52,9.13.51,1979,7198,,,
S-117,U-117,A-117,19.16.13,20.04.48,2915,4384,,,
S-118,U-118,A-118,17.42.24,18.34.05,3101,3652,,,
S-119,U-119,A-119,10.25.08,10.50.02,1494,3808,,,
S-120,U-120,A-120,5.13.32,5.36.38,1386,7635,,,
S-121,U-121,A-121,0.27.30,0.50.25,1375,1406,,,
S-122,U-122,A-122,19.05.25,19.47.52,2547,2406,,,
S-123,U-123,A-123,17.11.19,17.52.09,2450,149,,,
S-124,U-124,A-124,20.43.14,20.55.50,756,3712,,,
S-125,U-125,A-125,19.25.59,20.19.45,3226,7137,,,
S-126,U-126,A-126,9.23.21,9.43.32,1211,1142,,,
S-127,U-127,A-127,9.04.45,9.32.01,1636,1582,,,
S-128,U-128,A-128,22.33.35,22.39.25,350,3523,,,
S-129,U-129,A-129,11.44.44,12.02.28,1064,1038,,,
S-130,U-130,A-130,12.49.27,13.09.01,1174,4115,,,
S-131,U-131,A-131,2.04.21,2.14.18,597,2196,,,
S-132,U-132,A-132,6.03.51,6.59.12,3321,3268,,,
S-133,U-133,A-133,2.27.51,2.45.37,1066,7228,,,
S-134,U-134,A-134,20.34.41,21.11.41,2220,4756,,,
S-135,U-135,A-135,17.59.02,18.19.09,1207,3565,,,
S-136,U-136,A-136,8.41.57,8.48.12,375,4765,,,
S-137,U-137,A-137,14.26.35,15.18.29,3114,451,,,
S-138,U-138,A-138,21.55.34,22.29.42,2048,3276,,,
S-139,U-139,A-139,21.03.05,21.08.50,345,669,,,
S-140,U-140,A-140,2.32.11,2.52.54,1243,4747,,,
S-141,U-141,A-141,19.30.30,19.48.42,1092,904,,,
S-142,U-142,A-142,4.59.09,5.28.09,1740,930,,,
S-143,U-143,A-143,8.06.21,8.56.52,3031,7340,,,
S-144,U-144,A-144,9.59.04,10.21.57,1373,4848,,,
S-145,U-145,A-145,23.54.01,0.44.46,-83355,6215,,,
S-146,U-146,A-146,5.14.35,5.37.37,1382,6529,,,
S-147,U-147,A-147,19.15.09,19.54.28,2359,6040,,,
S-148,U-148,A-148,2.00.26,2.20.29,1203,599,,,
S-149,U-149,A-149,21.54.40,22.24.43,1803,2748,,,
S-150,U-150,A-150,0.39.04,1.31.49,3165,3773,,,
S-151,U-151,A-151,20.36.11,21.35.05,3534,3327,,,
S-152,U-152,A-152,3.32.07,4.04.42,1955,7492,,,
S-153,U-153,A-153,7.48.34,7.54.18,344,3591,,,
S-154,U-154,A-154,12.17.22,12.29.38,736,781,,,
S-155,U-155,A-155,14.17.09,15.05.02,2873,6569,,,
S-156,U-156,A-156,21.37.36,22.31.45,3249,2508,,,
S-157,U-157,A-157,9.48.56,10.16.18,1642,5427,,,
S-158,U-158,A-158,2.23.09,2.49.59,1610,5847,,,
S-159,U-159,A-159,0.39.10,1.32.17,3187,5126,,,
S-160,U-160,A-160,21.18.48,22.04.15,2727,429,,,
S-161,U-161,A-161,1.02.08,1.37.48,2140,955,,,
S-162,U-162,A-162,2.30.43,3.19.39,2936,6757,,,
S-163,U-163,A-163,20.28.31,21.27.52,3561,4987,,,
S-164,U-164,A-164,23.30.13,0.26.25,-83028,4,,,
S-165,U-165,A-165,7.12.36,7.31.16,1120,3068,,,
S-166,U-166,A-166,5.31.14,5.56.43,1529,1462,,,
S-167,U-167,A-167,18.57.59,19.28.58,1859,388,,,
S-168,U-168,A-168,15.27.57,16.14.59,2822,372,,,
S-169,U-169,A-169,4.11.11,4.22.04,653,80,,,
S-170,U-170,A-170,4.05.06,4.14.20,554,3243,,,
S-171,U-171,A-171,14.42.05,14.48.03,358,1344,,,
S-172,U-172,A-172,12.44.34,13.12.55,1701,5972,,,
S-173,U-173,A-173,12.16.04,12.22.22,378,6401,,,
S-174,U-174,A-174,16.47.05,17.28.04,2459,6480,,,
S-175,U-175,A-175,5.37.37,6.21.52,2655,1872,,,
S-176,U-176,A-176,23.35.00,0.09.58,-84302,7778,,,
S-177,U-177,A-177,17.42.16,18.41.40,3564,1806,,,
S-178,U-178,A-178,11.52.24,12.23.16,1852,5427,,,
S-179,U-179,A-179,0.51.22,1.34.51,2609,293,,,
S-180,U-180,A-180,19.51.24,20.40.02,2918,7360,,,
S-181,U-181,A-181,3.38.36,4.09.51,1875,2398,,,
S-182,U-182,A-182,7.07.06,7.27.38,1232,1769,,,
S-183,U-183,A-183,16.47.25,17.47.25,3600,4830,,,
S-184,U-184,A-184,16.44.38,17.32.59,2901,6997,,,
S-185,U-185,A-185,20.51.44,21.23.38,1914,3747,,,
S-186,U-186,A-186,9.22.23,10.02.20,2397,4339,,,
S-187,U-187,A-187,14.03.02,14.44.39,2497,824,,,
S-188,U-188,A-188,15.46.18,16.24.23,2285,855,,,
S-189,U-189,A-189,16.02.39,16.21.53,1154,987,,,
S-190,U-190,A-190,14.26.04,15.21.45,3341,1646,,,
S-191,U-191,A-191,14.58.49,15.47.11,2902,5455,,,
S-192,U-192,A-192,22.27.33,22.41.31,838,4978,,,
S-193,U-193,A-193,7.43.18,8.20.26,2228,7686,,,
S-194,U-194,A-194,12.35.23,13.03.15,1672,3201,,,
S-195,U-195,A-195,10.48.46,10.55.01,375,2985,,,
S-196,U-196,A-196,11.47.57,12.38.24,3027,622,,,
S-197,U-197,A-197,7.48.28,8.38.06,2978,5484,,,
S-198,U-198,A-198,11.47.34,12.25.49,2295,2532,,,
S-199,U-199,A-199,22.55.53,23.53.47,3474,76,,,
S-200,U-200,A-200,17.11.07,17.39.48,1721,1189,,,
S-201,U-201,A-201,12.05.24,12.37.38,1934,2312,,,
S-202,U-202,A-202,7.32.29,8.25.17,3168,7461,,,
S-203,U-203,A-203,17.00.01,17.21.34,1293,7820,,,
S-204,U-204,A-204,2.17.16,3.03.00,2744,7400,,,
S-205,U-205,A-205,0.03.19,0.50.26,2827,4756,,,
S-206,U-206,A-206,4.52.53,5.05.47,774,1351,,,
S-207,U-207,A-207,19.57.26,20.30.13,1967,192,,,
S-208,U-208,A-208,21.41.24,22.04.19,1375,1236,,,
S-209,U-209,A-209,23.57.35,0.27.06,-84629,357,,,
S-210,U-210,A-210,10.45.28,11.13.58,1710,7768,,,
S-211,U-211,A-211,0.28.55,1.24.51,3356,3755,,,
S-212,U-212,A-212,17.28.29,17.53.01,1472,842,,,
S-213,U-213,A-213,22.30.45,23.11.51,2466,4062,,,
S-214,U-214,A-214,19.33.35,20.11.51,2296,145,,,
S-215,U-215,A-215,10.18.15,10.23.39,324,3378,,,
S-216,U-216,A-216,21.29.37,21.54.22,1485,4142,,,
S-217,U-217,A-217,7.06.21,8.05.05,3524,5239,,,
S-218,U-218,A-218,1.12.24,1.28.18,954,1216,,,
S-219,U-219,A-219,6.54.04,7.08.26,862,6254,,,
S-220,U-220,A-220,11.33.08,12.22.16,2948,83,,,
S-221,U-221,A-221,10.51.33,11.44.13,3160,137,,,
S-222,U-222,A-222,3.34.52,3.49.14,862,7248,,,
S-223,U-223,A-223,5.01.45,5.57.10,3325,4384,,,
S-224,U-224,A-224,20.46.03,21.23.13,2230,4683,,,
S-225,U-225,A-225,22.32.44,22.52.24,1180,1317,,,
S-226,U-226,A-226,4.58.10,5.55.28,3438,6381,,,
S-227,U-227,A-227,14.05.22,14.34.12,1730,2120,,,
S-228,U-228,A-228,15.19.31,15.26.39,428,1290,,,
S-229,U-229,A-229,22.37.46,22.55.44,1078,1791,,,
S-230,U-230,A-230,0.14.01,0.33.19,1158,3092,,,
S-231,U-231,A-231,2.27.26,2.46.19,1133,1476,,,
S-232,U-232,A-232,4.11.57,4.23.01,664,3721,,,
S-233,U-233,A-233,2.45.12,3.33.24,2892,4249,,,
S-234,U-234,A-234,20.33.19,20.50.53,1054,2037,,,
S-235,U-235,A-235,21.09.05,21.31.47,1362,2740,,,
S-236,U-236,A-236,13.27.05,14.22.57,3352,56,,,
S-237,U-237,A-237,4.02.22,4.42.13,2391,2532,,,
S-238,U-238,A-238,12.05.23,12.51.53,2790,4321,,,
S-239,U-239,A-239,3.04.37,3.10.29,352,4294,,,
S-240,U-240,A-240,6.40.37,6.48.49,492,2652,,,
S-241,U-241,A-241,18.17.18,18.50.48,2010,209,,,
S-242,U-242,A-242,14.15.17,14.44.53,1776,149,,,
S-243,U-243,A-243,2.38.38,2.54.56,978,1632,,,
S-244,U-244,A-244,15.04.35,15.13.28,533,1324,,,
S-245,U-245,A-245,0.56.30,1.21.33,1503,1162,,,
S-246,U-246,A-246,8.35.15,8.59.49,1474,2052,,,
S-247,U-247,A-247,19.33.13,19.38.41,328,2014,,,
S-248,U-248,A-248,21.28.13,21.48.45,1232,3378,,,
S-249,U-249,A-249,2.56.49,3.41.35,2686,7340,,,
S-250,U-250,A-250,12.18.16,13.10.41,3145,3369,,,
S-251,U-251,A-251,10.21.36,10.55.12,2016,214,,,
S-252,U-252,A-252,13.26.36,14.19.33,3177,4447,,,
S-253,U-253,A-253,2.23.41,3.16.56,3195,6293,,,
S-254,U-254,A-254,12.54.10,13.20.39,1589,5418,,,
S-255,U-255,A-255,15.43.38,16.27.13,2615,4867,,,
S-256,U-256,A-256,6.17.56,6.46.39,1723,4940,,,
S-257,U-257,A-257,8.32.13,9.06.10,2037,788,,,
S-258,U-258,A-258,3.26.34,3.33.00,386,2952,,,
S-259,U-259,A-259,14.54.33,15.42.56,2903,5276,,,
S-260,U-260,A-260,17.24.41,18.20.25,3344,1455,,,
S-261,U-261,A-261,15.19.20,16.05.00,2740,1290,,,
S-262,U-262,A-262,5.45.56,6.41.38,3342,23,,,
S-263,U-263,A-263,0.52.20,1.13.13,1253,1799,,,
S-264,U-264,A-264,20.11.07,20.19.53,526,3634,,,
S-265,U-265,A-265,13.51.36,14.22.16,1840,6234,,,
S-266,U-266,A-266,0.46.37,1.01.37,900,1646,,,
S-267,U-267,A-267,0.46.56,1.14.52,1676,1821,,,
S-268,U-268,A-268,0.23.05,0.29.57,412,538,,,
S-269,U-269,A-269,22.30.45,23.06.36,2151,288,,,
S-270,U-270,A-270,15.26.23,15.59.50,2007,2895,,,
S-271,U-271,A-271,15.35.19,16.18.31,2592,83,,,
S-272,U-272,A-272,12.41.14,12.49.08,474,2968,,,
S-273,U-273,A-273,23.56.30,0.16.06,-85224,3677,,,
S-274,U-274,A-274,13.11.17,13.26.51,934,7737,,,
S-275,U-275,A-275,14.11.04,14.16.05,301,337,,,
S-276,U-276,A-276,23.35.19,0.20.33,-83686,322,,,
S-277,U-277,A-277,10.14.06,10.58.13,2647,424,,,
S-278,U-278,A-278,7.03.07,7.45.49,2562,1733,,,
S-279,U-279,A-279,8.21.22,8.35.11,829,1,,,
S-280,U-280,A-280,9.59.01,10.26.45,1664,1413,,,
S-281,U-281,A-281,21.56.11,22.46.22,3011,5239,,,
S-282,U-282,A-282,19.58.10,20.24.44,1594,7188,,,
S-283,U-283,A-283,13.34.20,13.46.27,727,5569,,,
S-284,U-284,A-284,13.26.55,13.33.29,394,3412,,,
S-285,U-285,A-285,1.15.30,1.27.22,712,3548,,,
S-286,U-286,A-286,5.27.52,6.27.11,3559,40,,,
S-287,U-287,A-287,23.53.59,0.01.38,-85941,3634,,,
S-288,U-288,A-288,22.01.38,22.51.06,2968,232,,,
S-289,U-289,A-289,9.12.17,9.46.53,2076,91,,,
S-290,U-290,A-290,19.44.06,20.25.42,2496,4429,,,
S-291,U-291,A-291,15.09.46,15.19.26,580,298,,,
S-292,U-292,A-292,8.02.55,8.09.03,368,2266,,,
S-293,U-293,A-293,1.45.48,1.58.49,781,7107,,,
S-294,U-294,A-294,4.47.32,5.40.10,3158,3109,,,
S-295,U-295,A-295,9.12.25,10.09.01,3396,2936,,,
S-296,U-296,A-296,13.24.25,13.38.31,846,2219,,,
S-297,U-297,A-297,5.43.52,6.00.30,998,830,,,
S-298,U-298,A-298,8.58.19,9.15.32,1033,2067,,,
S-299,U-299,A-299,9.20.19,9.43.34,1395,6166,,,
S-300,U-300,A-300,17.46.07,18.26.43,2436,1603,,,
S-301,U-301,A-301,2.11.35,2.16.36,301,1518,,,
S-302,U-302,A-302,1.07.39,1.27.13,1174,622,,,
S-303,U-303,A-303,9.52.32,10.44.49,3137,2351,,,
S-304,U-304,A-304,22.58.17,23.22.03,1426,7441,,,
S-305,U-305,A-305,4.48.33,4.58.40,607,2437,,,
S-306,U-306,A-306,14.22.53,15.08.10,2717,214,,,
S-307,U-307,A-307,10.15.43,10.56.00,2417,1344,,,
S-308,U-308,A-308,8.48.26,9.03.37,911,6313,,,
S-309,U-309,A-309,19.19.06,19.46.47,1661,5560,,,
S-310,U-310,A-310,8.47.19,9.36.33,2954,2258,,,
S-311,U-311,A-311,11.42.25,12.13.31,1866,3344,,,
S-312,U-312,A-312,14.12.18,14.54.19,2521,1070,,,
S-313,U-313,A-313,2.49.36,2.56.43,427,1483,,,
S-314,U-314,A-314,1.29.56,2.05.55,2159,2212,,,
S-315,U-315,A-315,22.51.48,23.17.33,1545,5408,,,
S-316,U-316,A-316,5.17.48,5.56.25,2317,6186,,,
S-317,U-317,A-317,2.47.18,2.54.01,403,1236,,,
S-318,U-318,A-318,14.55.40,15.21.51,1571,4098,,,
S-319,U-319,A-319,11.17.41,12.02.21,2680,1582,,,
S-320,U-320,A-320,22.22.01,23.00.44,2323,2367,,,
S-321,U-321,A-321,15.46.47,16.29.15,2548,2021,,,
S-322,U-322,A-322,3.37.30,3.58.00,1230,1455,,,
S-323,U-323,A-323,4.54.56,5.09.44,888,3877,,,
S-324,U-324,A-324,17.53.41,18.12.09,1108,87,,,
S-325,U-325,A-325,7.56.08,8.08.11,723,308,,,
S-326,U-326,A-326,20.22.09,21.07.24,2715,445,,,
S-327,U-327,A-327,1.41.11,2.35.26,3255,5333,,,
S-328,U-328,A-328,6.01.04,6.19.51,1127,6342,,,
S-329,U-329,A-329,11.44.41,12.28.56,2655,7067,,,
S-330,U-330,A-330,4.22.50,4.30.22,452,1894,,,
S-331,U-331,A-331,4.46.53,4.55.47,534,419,,,
S-332,U-332,A-332,7.54.45,8.51.32,3407,4756,,,
S-333,U-333,A-333,8.11.51,8.17.24,333,5229,,,
S-334,U-334,A-334,5.31.14,6.14.05,2571,7238,,,
S-335,U-335,A-335,0.25.54,0.48.46,1372,594,,,
S-336,U-336,A-336,21.24.38,22.18.42,3244,2414,,,
S-337,U-337,A-337,7.14.51,7.34.41,1190,4393,,,
S-338,U-338,A-338,12.52.49,13.01.02,493,274,,,
S-339,U-339,A-339,14.07.38,14.59.50,3132,7238,,,
S-340,U-340,A-340,3.33.24,3.40.20,416,3617,,,
S-341,U-341,A-341,16.12.53,16.41.39,1726,955,,,
S-342,U-342,A-342,14.30.15,15.01.45,1890,4402,,,
S-343,U-343,A-343,3.47.01,4.18.38,1897,4062,,,
S-344,U-344,A-344,3.39.47,4.10.36,1849,1917,,,
S-345,U-345,A-345,1.00.56,1.38.58,2282,3488,,,
S-346,U-346,A-346,19.04.47,19.20.08,921,4195,,,
S-347,U-347,A-347,20.06.02,20.26.33,1231,6767,,,
S-348,U-348,A-348,6.31.57,6.58.13,1576,2668,,,
S-349,U-349,A-349,0.49.16,1.36.41,2845,1149,,,
S-350,U-350,A-350,15.01.47,15.42.33,2446,6332,,,
S-351,U-351,A-351,0.32.10,1.19.08,2818,7666,,,
S-352,U-352,A-352,11.18.07,12.13.38,3331,7340,,,
S-353,U-353,A-353,8.41.58,8.53.49,711,2097,,,
S-354,U-354,A-354,11.04.24,11.37.25,1981,4438,,,
S-355,U-355,A-355,13.32.13,14.11.47,2374,4784,,,
S-356,U-356,A-356,4.46.46,4.59.21,755,4802,,,
S-357,U-357,A-357,4.09.25,4.55.05,2740,250,,,
S-358,U-358,A-358,11.55.42,12.02.42,420,2166,,,
S-359,U-359,A-359,1.47.05,2.27.46,2441,1283,,,
S-360,U-360,A-360,3.35.46,4.15.28,2382,1553,,,
S-361,U-361,A-361,5.14.43,5.32.41,1078,4592,,,
S-362,U-362,A-362,21.50.30,22.27.58,2248,145,,,
S-363,U-363,A-363,16.16.28,17.06.30,3002,5982,,,
S-364,U-364,A-364,10.53.18,11.08.55,937,2150,,,
S-365,U-365,A-365,10.37.52,11.15.06,2234,7912,,,
S-366,U-366,A-366,7.15.36,7.53.49,2293,2596,,,
S-367,U-367,A-367,2.04.01,2.52.22,2901,2112,,,
S-368,U-368,A-368,8.52.03,9.16.16,1453,7279,,,
S-369,U-369,A-369,20.46.26,21.42.20,3354,1269,,,
S-370,U-370,A-370,12.03.26,12.44.50,2484,2732,,,
S-371,U-371,A-371,5.16.16,5.37.46,1290,3904,,,
S-372,U-372,A-372,16.30.59,17.18.40,2861,7696,,,
S-373,U-373,A-373,15.17.48,15.42.32,1484,3437,,,
S-374,U-374,A-374,8.12.29,8.23.36,667,1351,,,
S-375,U-375,A-375,3.17.35,4.03.54,2779,4348,,,
S-376,U-376,A-376,4.51.48,5.18.10,1582,3913,,,
S-377,U-377,A-377,17.00.25,17.18.52,1107,218,,,
S-378,U-378,A-378,2.55.23,3.22.57,1654,3531,,,
S-379,U-379,A-379,19.28.23,19.36.59,516,6817,,,
S-380,U-380,A-380,1.26.39,1.34.58,499,6578,,,
S-381,U-381,A-381,19.08.47,19.14.16,329,781,,,
S-382,U-382,A-382,15.46.34,16.24.58,2304,5248,,,
S-383,U-383,A-383,14.50.14,15.00.25,611,3117,,,
S-384,U-384,A-384,10.44.05,10.59.17,912,2895,,,
S-385,U-385,A-385,0.06.50,0.56.51,3001,6460,,,
S-386,U-386,A-386,3.09.04,4.05.45,3401,7912,,,
S-387,U-387,A-387,22.24.40,22.48.02,1402,3948,,,
S-388,U-388,A-388,11.32.19,12.16.55,2676,1924,,,
S-389,U-389,A-389,7.20.32,7.28.44,492,2189,,,
S-390,U-390,A-390,18.12.26,19.10.45,3499,2952,,,
S-391,U-391,A-391,19.49.07,20.01.59,772,162,,,
S-392,U-392,A-392,18.00.53,18.46.57,2764,3176,,,
S-393,U-393,A-393,2.41.31,3.04.37,1386,7047,,,
S-394,U-394,A-394,10.38.15,11.03.45,1530,5550,,,
S-395,U-395,A-395,4.58.37,5.53.30,3293,6887,,,
S-396,U-396,A-396,13.21.08,14.20.15,3547,183,,,
S-397,U-397,A-397,6.09.06,7.08.08,3542,3251,,,
S-398,U-398,A-398,17.15.49,18.03.22,2853,4857,,,
S-399,U-399,A-399,6.51.09,7.40.22,2953,2789,,,
S-400,U-400,A-400,3.43.12,4.02.40,1168,2227,,,
S-401,U-401,A-401,12.32.25,13.04.34,1929,3226,,,
S-402,U-402,A-402,18.42.34,19.14.40,1926,5361,,,
S-403,U-403,A-403,7.19.06,7.44.51,1545,1358,,,
S-404,U-404,A-404,5.29.50,5.37.47,477,2243,,,
S-405,U-405,A-405,20.07.49,20.35.14,1645,7533,,,
S-406,U-406,A-406,18.10.42,18.19.44,542,3703,,,
S-407,U-407,A-407,11.26.08,12.19.59,3231,2846,,,
S-408,U-408,A-408,9.02.51,9.41.02,2291,5229,,,
S-409,U-409,A-409,10.34.21,11.25.05,3044,4160,,,
S-410,U-410,A-410,22.52.21,22.59.29,428,2604,,,
S-411,U-411,A-411,13.16.40,13.49.59,1999,3327,,,
S-412,U-412,A-412,11.58.23,12.28.33,1810,4738,,,
S-413,U-413,A-413,3.14.53,3.56.57,2524,6401,,,
S-414,U-414,A-414,8.20.14,8.32.48,754,4546,,,
S-415,U-415,A-415,22.02.33,22.13.27,654,1711,,,
S-416,U-416,A-416,13.05.30,13.38.48,1998,7178,,,
S-417,U-417,A-417,0.52.58,1.49.13,3375,6011,,,
S-418,U-418,A-418,2.35.05,3.22.17,2832,1202,,,
S-419,U-419,A-419,23.26.16,23.59.35,1999,3192,,,
S-420,U-420,A-420,22.40.09,23.18.57,2328,7645,,,
S-421,U-421,A-421,3.21.02,3.31.12,610,5924,,,
S-422,U-422,A-422,11.01.47,11.14.03,736,6147,,,
S-423,U-423,A-423,12.19.18,12.49.28,1810,1646,,,
S-424,U-424,A-424,5.31.24,6.15.37,2653,6549,,,
S-425,U-425,A-425,7.08.04,7.21.35,811,393,,,
S-426,U-426,A-426,0.18.57,0.58.48,2391,4537,,,
S-427,U-427,A-427,1.54.09,2.29.59,2150,1434,,,
