Agent_Id,Agent_Name,Model_Used,Current_Version,Created_At,Status
A-182,DeepLLM,GPT-4o,v4.2.4,03-11-2024,Disabled
A-183,CodeBot,FinanceGPT,v1.4.4,20-07-2025,Testing
A-184,EchoBot,Mixtral-8B,v4.1.1,03-06-2025,Active
A-185,TurboGPT,LLaMA-3 7B,v5.0.6,15-01-2024,Active
A-186,TurboBot,Mixtral-8B,v4.5.1,18-08-2025,Testing
A-187,NanoAI,Mixtral-8B,v3.3.5,22-07-2024,Testing
A-188,TurboCore,LLaMA-3 70B,v5.3.4,14-05-2024,Active
A-189,EchoCore,HyperNova,v1.4.3,10-02-2025,Active
A-190,CodeCore,LLaMA-3 70B,v5.3.2,24-11-2024,Disabled
A-191,HyperMind,FinanceGPT,v1.9.7,30-05-2025,Active
A-192,TurboMind,LLaMA-3 7B,v2.3.6,16-06-2025,Active
A-193,DeepLLM,GPT-3.5 Turbo,v2.1.7,14-07-2025,Testing
A-194,NeuroGPT,HyperNova,v5.8.6,11-04-2025,Disabled
A-195,UltraEngine,GPT-4,v3.8.4,14-06-2025,Active
A-196,CodeEngine,GPT-4o,v4.7.5,20-03-2024,Testing
A-197,NeuroEngine,Claude 3,v4.7.5,01-01-2025,Active
A-198,ChatMind,LLaMA-3 7B,v4.4.9,15-09-2024,Testing
A-199,UltraLLM,LLaMA-3 70B,v5.3.3,14-11-2025,Active
A-200,ChatGPT,Claude 3,v1.7.9,25-03-2025,Active
A-201,EchoMind,LLaMA-3 70B,v5.7.3,17-05-2025,Active
A-202,EchoEngine,Mixtral-8B,v2.0.8,06-10-2025,Active
A-203,DeepLLM,LLaMA-3 70B,v1.8.0,05-11-2024,Disabled
A-204,NanoEngine,GPT-4o,v4.4.3,13-05-2025,Active
A-205,HyperMind,Claude 3,v3.7.3,15-07-2025,Testing
A-206,HyperAI,CodeGen-v2,v5.0.7,18-03-2025,Testing
A-207,CodeAI,FinanceGPT,v2.6.9,27-05-2025,Active
A-208,SmartCore,LLaMA-3 7B,v3.5.4,24-05-2025,Active
A-209,CodeAI,GPT-4o,v2.7.2,18-06-2025,Testing
A-210,TurboGPT,Claude 3,v4.8.1,27-09-2025,Disabled
A-211,DeepLLM,GPT-3.5 Turbo,v3.7.1,04-12-2024,Disabled
A-212,NeuroLLM,LLaMA-3 13B,v1.4.2,30-07-2025,Active
A-213,UltraAI,HyperNova,v4.6.5,21-12-2024,Active
A-214,UltraCore,GPT-4o-finetune-v1,v2.0.9,12-09-2025,Active
A-215,SmartAI,Mistral-7B,v1.0.1,12-01-2024,Disabled
A-216,ChatGPT,CodeGen-v2,v3.9.7,17-11-2024,Active
A-217,HyperMind,CodeGen-v2,v2.8.6,16-08-2025,Active
A-218,CodeGPT,GPT-3.5 Turbo,v2.2.0,17-02-2025,Active
A-219,CodeCore,LLaMA-3 70B,v1.7.8,14-05-2024,Active
A-220,TurboCore,GPT-4,v3.5.9,13-05-2025,Active
A-221,SmartEngine,Claude 2,v4.7.6,09-09-2025,Active
A-222,ChatMind,LLaMA-3 13B,v1.4.9,08-10-2025,Active
A-223,DeepLLM,LLaMA-3 70B,v1.5.9,28-04-2024,Active
A-224,EchoGPT,GPT-4o,v2.3.3,16-02-2025,Testing
A-225,HyperBot,Claude 3,v1.4.3,28-03-2025,Disabled
A-226,SmartAI,CodeGen-v2,v3.1.3,08-04-2024,Active
A-227,EchoBot,QuantumAI,v3.9.6,04-03-2025,Active
A-228,TurboLLM,CodeGen-v2,v1.5.1,09-01-2025,Testing
A-229,HyperMind,HyperNova,v1.3.8,27-08-2025,Testing
A-230,ChatGPT,FinanceGPT,v1.1.5,18-04-2025,Active
A-231,SmartGPT,LLaMA-3 13B,v3.9.6,12-06-2024,Active
A-232,CodeEngine,Claude 3,v1.5.0,13-04-2024,Active
A-233,HyperMind,Mixtral-8B,v3.5.0,07-02-2024,Testing
A-234,EchoEngine,Mixtral-8B,v5.5.1,03-05-2025,Testing
A-235,TurboBot,GPT-4,v3.7.8,27-02-2024,Active
A-236,EchoLLM,Mistral-7B,v1.7.6,05-06-2025,Active
A-237,EchoMind,Mistral-7B,v2.5.4,15-08-2025,Testing
A-238,DeepCore,CodeGen-v2,v4.4.7,14-04-2025,Active
A-239,TurboGPT,QuantumAI,v3.0.7,26-11-2024,Active
A-240,UltraLLM,LLaMA-3 13B,v5.3.4,11-04-2024,Active
A-241,ChatGPT,LLaMA-3 70B,v4.3.6,06-10-2024,Active
A-242,TurboMind,HyperNova,v1.0.7,21-11-2024,Disabled
A-243,HyperGPT,GPT-4o,v1.2.0,12-11-2025,Active
A-244,NanoLLM,Claude 2,v2.8.1,08-10-2025,Active
A-245,NanoMind,Claude 3,v3.3.7,25-11-2024,Active
A-246,SmartMind,QuantumAI,v3.6.5,12-11-2025,Disabled
A-247,NeuroMind,Mixtral-8B,v3.7.9,27-06-2024,Disabled
A-248,ChatMind,GPT-3.5 Turbo,v5.7.8,03-05-2025,Active
A-249,SmartLLM,LLaMA-3 70B,v5.4.0,17-11-2025,Active
A-250,HyperEngine,Claude 2,v5.7.9,29-02-2024,Testing
A-251,NanoMind,GPT-4,v4.7.3,09-03-2025,Disabled
A-252,TurboEngine,HyperNova,v3.4.2,02-07-2025,Active
A-253,TurboGPT,Mixtral-8B,v2.5.5,12-04-2025,Active
A-254,SmartGPT,LLaMA-3 70B,v4.3.1,24-03-2025,Active
A-255,UltraBot,Mixtral-8B,v5.4.8,25-06-2025,Disabled
A-256,TurboEngine,Claude 3,v5.4.4,08-01-2024,Active
A-257,DeepEngine,Mixtral-8B,v4.1.8,02-11-2025,Testing
A-258,NanoAI,LLaMA-3 70B,v3.5.8,23-08-2024,Active
A-259,CodeBot,Claude 3,v4.1.6,12-08-2025,Testing
A-260,SmartAI,CodeGen-v2,v2.1.6,15-12-2024,Testing
A-261,TurboBot,LLaMA-3 13B,v3.2.9,16-01-2025,Active
A-262,UltraGPT,GPT-4o,v4.3.8,13-08-2025,Disabled
A-263,ChatMind,Claude 3,v2.7.8,20-06-2025,Testing
A-264,DeepCore,Claude 2,v3.3.8,20-09-2025,Active
A-265,NeuroLLM,Mixtral-8B,v1.8.6,04-03-2025,Active
A-266,UltraGPT,GPT-4o,v3.3.1,06-07-2024,Active
A-267,DeepGPT,GPT-4o-finetune-v1,v4.6.0,30-12-2024,Testing
A-268,DeepBot,Claude 3,v1.4.2,28-08-2025,Testing
A-269,UltraGPT,Mixtral-8B,v1.9.3,03-01-2025,Disabled
A-270,UltraCore,GPT-4,v2.1.3,08-07-2025,Active
A-271,CodeMind,LLaMA-3 7B,v3.9.3,06-03-2024,Disabled
A-272,UltraGPT,Claude 2,v4.6.2,19-01-2025,Active
A-273,CodeEngine,HyperNova,v5.6.8,10-02-2025,Disabled
A-274,HyperMind,LLaMA-3 7B,v1.4.0,04-01-2025,Disabled
A-275,SmartGPT,GPT-4o,v5.9.6,19-05-2025,Active
A-276,DeepAI,CodeGen-v2,v2.0.6,04-08-2024,Disabled
A-277,TurboAI,GPT-3.5 Turbo,v1.7.1,05-09-2025,Disabled
A-278,NeuroMind,GPT-3.5 Turbo,v4.1.4,11-11-2024,Active
A-279,HyperCore,FinanceGPT,v4.3.7,31-10-2025,Active
A-280,DeepCore,LLaMA-3 7B,v1.7.1,25-03-2024,Testing
A-281,EchoMind,Claude 2,v4.5.9,16-10-2025,Active
A-282,CodeLLM,GPT-4,v4.3.4,09-05-2024,Active
A-283,NeuroMind,Claude 3,v1.6.0,28-05-2025,Active
A-284,NeuroCore,CodeGen-v2,v3.4.3,20-03-2025,Disabled
A-285,DeepBot,GPT-4o-finetune-v1,v4.2.9,15-04-2025,Testing
A-286,NanoEngine,GPT-3.5 Turbo,v4.3.5,29-03-2024,Active
A-287,SmartMind,Claude 2,v4.0.9,17-03-2025,Disabled
A-288,NanoEngine,GPT-4,v4.8.0,21-08-2025,Active
A-289,NeuroCore,CodeGen-v2,v2.3.3,05-04-2024,Active
A-290,EchoAI,Claude 3,v4.6.3,15-07-2024,Active
A-291,NeuroLLM,GPT-4o-finetune-v1,v1.5.3,30-05-2025,Testing
A-292,DeepGPT,Mistral-7B,v5.7.9,13-01-2024,Active
A-293,NeuroGPT,Mistral-7B,v3.8.5,12-11-2025,Active
A-294,NanoMind,Mistral-7B,v1.7.9,06-02-2024,Active
A-295,CodeMind,QuantumAI,v4.5.5,08-04-2025,Disabled
A-296,EchoBot,LLaMA-3 70B,v2.9.6,16-08-2024,Active
A-297,TurboGPT,Mixtral-8B,v4.0.2,14-06-2024,Active
A-298,HyperGPT,HyperNova,v3.6.7,15-06-2024,Active
A-299,EchoBot,Mistral-7B,v5.4.8,20-04-2024,Active
A-300,NanoAI,Mixtral-8B,v1.8.6,10-08-2025,Active
A-301,SmartMind,CodeGen-v2,v2.5.4,26-06-2025,Disabled
A-302,NeuroGPT,LLaMA-3 13B,v5.2.9,17-11-2024,Testing
A-303,UltraAI,HyperNova,v5.8.8,31-08-2024,Active
A-304,ChatGPT,CodeGen-v2,v2.9.0,08-06-2024,Active
A-305,HyperCore,Mixtral-8B,v2.3.8,07-04-2025,Active
A-306,NanoBot,LLaMA-3 7B,v3.3.7,28-05-2025,Active
A-307,ChatGPT,LLaMA-3 7B,v1.0.0,13-06-2025,Active
A-308,NanoCore,Mistral-7B,v2.2.6,09-09-2024,Disabled
A-309,EchoLLM,LLaMA-3 7B,v4.2.8,30-06-2025,Testing
A-310,UltraAI,HyperNova,v5.2.9,01-02-2024,Active
A-311,NeuroLLM,CodeGen-v2,v1.0.6,09-06-2025,Disabled
A-312,UltraAI,Mistral-7B,v5.9.4,27-06-2024,Active
A-313,NanoBot,QuantumAI,v4.2.4,11-05-2025,Active
A-314,CodeBot,FinanceGPT,v1.3.7,28-08-2025,Active
A-315,TurboAI,GPT-3.5 Turbo,v5.7.3,09-09-2024,Disabled
A-316,ChatMind,GPT-4,v2.2.6,01-06-2025,Testing
A-317,DeepMind,GPT-3.5 Turbo,v1.4.3,28-06-2024,Active
A-318,NanoGPT,Claude 3,v5.1.6,29-03-2025,Disabled
A-319,NeuroAI,Claude 3,v4.9.4,18-10-2025,Active
A-320,EchoGPT,Mixtral-8B,v3.3.0,04-10-2024,Active
A-321,UltraAI,Claude 3,v4.8.1,07-04-2025,Disabled
A-322,NeuroBot,Claude 3,v3.8.8,06-08-2024,Testing
A-323,EchoAI,LLaMA-3 7B,v4.1.3,02-08-2024,Active
A-324,SmartCore,Claude 2,v1.5.4,21-07-2024,Disabled
A-325,HyperAI,GPT-3.5 Turbo,v3.7.7,18-04-2024,Disabled
A-326,SmartBot,HyperNova,v2.5.8,07-03-2025,Active
A-327,CodeCore,Claude 3,v4.7.8,22-02-2024,Active
A-328,ChatLLM,Claude 3,v3.2.7,07-12-2024,Active
A-329,NeuroBot,Claude 2,v3.4.4,26-03-2024,Testing
A-330,NeuroBot,Claude 3,v4.5.5,26-09-2024,Active
A-331,UltraLLM,Claude 2,v2.9.2,17-04-2024,Disabled
A-332,DeepCore,FinanceGPT,v1.2.2,04-09-2025,Disabled
A-333,UltraAI,LLaMA-3 7B,v4.1.5,11-09-2024,Active
A-334,CodeMind,HyperNova,v1.7.3,04-08-2024,Testing
A-335,CodeEngine,Mixtral-8B,v4.5.7,25-02-2025,Testing
A-336,DeepBot,Mistral-7B,v5.8.3,10-06-2024,Active
A-337,EchoLLM,Mistral-7B,v5.4.6,25-01-2025,Disabled
A-338,CodeEngine,Claude 3,v5.6.6,20-02-2025,Active
A-339,EchoEngine,CodeGen-v2,v2.0.2,10-06-2024,Active
A-340,HyperLLM,GPT-4o-finetune-v1,v4.2.0,27-06-2025,Active
A-341,SmartBot,GPT-4o,v4.7.5,29-08-2025,Disabled
A-342,HyperEngine,LLaMA-3 7B,v2.5.0,14-05-2025,Active
A-343,EchoEngine,LLaMA-3 13B,v2.6.5,30-08-2025,Testing
A-344,SmartCore,LLaMA-3 7B,v4.9.5,09-10-2025,Active
A-345,CodeBot,Claude 2,v3.7.1,18-11-2025,Disabled
A-346,EchoEngine,GPT-4,v5.5.1,21-01-2024,Active
A-347,SmartAI,Claude 3,v1.4.7,17-11-2024,Testing
A-348,NanoAI,LLaMA-3 7B,v5.2.5,11-12-2024,Active
A-349,SmartCore,LLaMA-3 70B,v4.2.6,19-04-2024,Testing
A-350,NeuroBot,GPT-3.5 Turbo,v5.9.5,13-09-2024,Active
A-351,EchoEngine,FinanceGPT,v4.2.2,25-11-2025,Testing
A-352,HyperCore,LLaMA-3 70B,v3.3.7,05-03-2025,Active
A-353,SmartBot,Claude 3,v3.2.7,19-10-2024,Disabled
A-354,HyperBot,CodeGen-v2,v3.0.4,27-02-2025,Active
A-355,SmartMind,Mistral-7B,v4.6.6,31-05-2024,Active
A-356,SmartGPT,GPT-4o,v3.1.6,17-06-2025,Testing
A-357,TurboLLM,LLaMA-3 13B,v3.0.3,16-03-2025,Active
A-358,EchoAI,Claude 2,v2.2.1,20-07-2024,Disabled
A-359,TurboMind,Claude 2,v5.5.6,22-08-2024,Active
A-360,HyperMind,CodeGen-v2,v1.1.6,17-11-2025,Active
A-361,HyperBot,HyperNova,v5.5.1,14-04-2024,Active
A-362,CodeBot,Mixtral-8B,v3.0.8,03-11-2025,Testing
A-363,NeuroMind,Claude 2,v2.1.7,25-11-2025,Active
A-364,TurboMind,GPT-4,v4.1.1,18-12-2024,Active
A-365,NanoGPT,LLaMA-3 70B,v2.3.5,12-06-2025,Active
A-366,UltraCore,HyperNova,v3.0.7,04-09-2025,Active
A-367,DeepLLM,QuantumAI,v5.7.1,03-04-2024,Active
A-368,NanoGPT,HyperNova,v3.4.6,17-06-2024,Active
A-369,NeuroAI,Mixtral-8B,v3.8.7,31-05-2024,Active
A-370,TurboLLM,Mixtral-8B,v1.4.6,22-10-2024,Disabled
A-371,DeepGPT,CodeGen-v2,v2.5.8,28-03-2025,Active
A-372,SmartLLM,LLaMA-3 70B,v3.6.5,29-06-2024,Active
A-373,DeepGPT,LLaMA-3 7B,v5.7.1,18-01-2024,Disabled
A-374,CodeEngine,FinanceGPT,v2.2.6,07-04-2025,Active
A-375,DeepBot,LLaMA-3 70B,v2.4.8,20-03-2025,Disabled
A-376,CodeEngine,CodeGen-v2,v1.0.4,17-12-2024,Active
A-377,UltraAI,LLaMA-3 7B,v1.6.3,16-01-2025,Active
A-378,HyperBot,LLaMA-3 7B,v5.6.7,14-11-2024,Disabled
